Rank,Country,Production (tonnes)
"1","China","94350000"
"2","India","54230000"
"3","Ukraine","21356320"
"4","United States","18717000"
"5","Russia","18295535"
"6","Germany","11312100"
"7","Bangladesh","9887242"
"8","France","8987220"
"9","Poland","7081460"
"10","Netherlands","6675590"
"11","Egypt","6273931"
"12","Canada","6152723"
"13","Pakistan","5872960"
"14","Peru","5702350"
"15","United Kingdom","5127387"
"16","Turkey","5100000"
"17","Algeria","4360880"
"18","Belgium","3871470"
"19","Brazil","3853464"
"20","Belarus","3405055"
